participant_num,speaker,start,end,duration
p18nodbot,participant,8.536,8.603,0.067
p18nodbot,participant,8.603,9.329,0.726
p18nodbot,nodbot,9.903,11.101,1.198
p18nodbot,nodbot,11.287,12.603,1.316
p18nodbot,participant,13.143,14.054,0.911
p18nodbot,nodbot,14.948,15.589,0.641
p18nodbot,nodbot,15.742,17.126,1.384
p18nodbot,participant,19.572,19.589,0.017
p18nodbot,participant,19.589,19.724,0.135
p18nodbot,participant,19.724,19.791,0.067
p18nodbot,participant,19.792,19.843,0.051
p18nodbot,participant,19.842,19.859,0.017
p18nodbot,participant,19.859,20.23,0.371
p18nodbot,nodbot,21.209,21.817,0.608
p18nodbot,nodbot,22.019,23.403,1.384
p18nodbot,participant,24.584,25.276,0.692
p18nodbot,nodbot,33.832,34.44,0.608
p18nodbot,nodbot,34.574,35.789,1.215
p18nodbot,participant,36.447,36.987,0.540
p27nodbot,participant,7.979,8.603,0.624
p27nodbot,nodbot,10.679,11.371,0.692
p27nodbot,nodbot,11.557,12.873,1.316
p27nodbot,participant,13.497,14.307,0.810
p27nodbot,nodbot,15.843,16.467,0.624
p27nodbot,nodbot,16.670,18.02,1.350
p27nodbot,participant,23.572,24.534,0.962
p27nodbot,nodbot,25.867,26.525,0.658
p27nodbot,nodbot,26.677,28.432,1.755
p27nodbot,nodbot,42.185,42.759,0.574
p27nodbot,nodbot,42.927,44.395,1.468
p10nodbot,participant,8.114,9.312,1.198
p10nodbot,nodbot,10.257,12.417,2.160
p10nodbot,participant,13.362,14.628,1.266
p10nodbot,nodbot,15.877,16.535,0.658
p10nodbot,nodbot,16.636,18.003,1.367
p10nodbot,participant,21.749,22.002,0.253
p10nodbot,participant,22.829,24.247,1.418
p10nodbot,nodbot,25.057,27.217,2.160
p10nodbot,nodbot,27.217,27.234,0.017
p10nodbot,participant,28.786,28.803,0.017
p10nodbot,participant,28.803,30.288,1.485
p10nodbot,nodbot,31.402,33.63,2.228
p3nodbot,participant,0.655,1.246,0.591
p3nodbot,participant,1.448,2.798,1.350
p3nodbot,participant,6.933,7.54,0.607
p3nodbot,participant,7.726,9.042,1.316
p3nodbot,participant,11.084,11.692,0.608
p3nodbot,participant,11.860,13.21,1.350
p3nodbot,participant,18.104,18.121,0.017
p3nodbot,participant,18.121,20.315,2.194
p3nodbot,nodbot,26.896,34.186,7.290
p3nodbot,nodbot,27.773,27.824,0.051
p3nodbot,nodbot,27.824,28.87,1.046
p3nodbot,nodbot,31.283,32.144,0.861
p3nodbot,nodbot,33.224,35.198,1.974
p3nodbot,participant,74.838,77.032,2.194
p3nodbot,nodbot,81.284,82.718,1.434
p3nodbot,nodbot,84.305,85.064,0.759
p29nodbot,participant,6.055,7.422,1.367
p29nodbot,participant,7.793,8.485,0.692
p29nodbot,nodbot,9.616,11.793,2.177
p29nodbot,participant,13.058,15.555,2.497
p29nodbot,nodbot,17.176,17.868,0.692
p29nodbot,nodbot,17.918,19.386,1.468
p29nodbot,participant,19.538,21.495,1.957
p29nodbot,nodbot,22.694,23.386,0.692
p29nodbot,nodbot,23.487,24.888,1.401
p29nodbot,participant,25.748,27.233,1.485
p29nodbot,participant,28.465,29.056,0.591
p29nodbot,nodbot,28.904,31.081,2.177
p29nodbot,participant,31.604,34.388,2.784
p29nodbot,nodbot,36.413,37.105,0.692
p29nodbot,nodbot,37.223,38.607,1.384
p29nodbot,participant,43.012,44.362,1.350
p29nodbot,nodbot,45.087,47.196,2.109
p24nodbot,participant,8.435,9.009,0.574
p24nodbot,nodbot,10.173,10.797,0.624
